clade	model_id	species	assembly_accession
Alveolata	sd2zcj7u	Babesia bigemina	GCF_000981445.1
Alveolata	sd2zcj7u	Babesia bovis	GCF_000165395.2
Alveolata	sd2zcj7u	Babesia caballi	GCA_053477425.1
Alveolata	sd2zcj7u	Babesia canis	GCA_045269395.1
Alveolata	sd2zcj7u	Babesia duncani	GCF_028658345.1
Alveolata	sd2zcj7u	Babesia gibsoni	GCA_035575875.1
Alveolata	sd2zcj7u	Babesia microti	GCF_000691945.2
Alveolata	sd2zcj7u	Besnoitia besnoiti	GCF_002563875.1
Alveolata	sd2zcj7u	Breviolum minutum	GCA_965643015.1
Alveolata	sd2zcj7u	Cryptosporidium hominis	GCA_045269125.1
Alveolata	sd2zcj7u	Cryptosporidium meleagridis	GCA_039657295.1
Alveolata	sd2zcj7u	Cryptosporidium parvum	GCF_000165345.1
Alveolata	sd2zcj7u	Cryptosporidium sp 43IA8	GCA_031892065.1
Alveolata	sd2zcj7u	Effrenium voratum	GCA_975362855.1
Alveolata	sd2zcj7u	Eimeria acervulina	GCA_981118555.1
Alveolata	sd2zcj7u	Eimeria maxima	GCA_977970315.1
Alveolata	sd2zcj7u	Eimeria praecox	GCA_963920595.1
Alveolata	sd2zcj7u	Eimeria tenella	GCA_030644485.1
Alveolata	sd2zcj7u	Freudenthalidium endolithicum	GCA_979612505.1
Alveolata	sd2zcj7u	Neospora caninum	GCF_000208865.1
Alveolata	sd2zcj7u	Symbiodinium microadriaticum	GCA_977109205.1
Alveolata	sd2zcj7u	Symbiodinium pilosum	GCA_964212085.1
Alveolata	sd2zcj7u	Symbiodinium tridacnidarum	GCA_965279495.1
Alveolata	sd2zcj7u	Tetrahymena utriculariae	GCA_052426195.1
Alveolata	sd2zcj7u	Theileria annulata	GCF_000003225.4
Alveolata	sd2zcj7u	Theileria equi	GCF_000342415.1
Alveolata	sd2zcj7u	Theileria haneyi	GCA_050329265.1
Alveolata	sd2zcj7u	Theileria orientalis	GCF_000740895.1
Alveolata	sd2zcj7u	Theileria parva	GCF_000165365.1
Alveolata	sd2zcj7u	Toxoplasma gondii	GCF_000006565.2
Amoebozoa	ezhpj2qm	Acanthamoeba castellanii	GCF_000313135.1
Amoebozoa	ezhpj2qm	Acanthamoeba sp GP39 C1	GCA_978143355.1
Amoebozoa	ezhpj2qm	Acytostelium subglobosum	GCF_000787575.1
Amoebozoa	ezhpj2qm	Balamuthia mandrillaris	GCA_001262475.1
Amoebozoa	ezhpj2qm	Cavenderia fasciculata	GCF_000203815.1
Amoebozoa	ezhpj2qm	Cochliopodium minus	GCA_024220525.1
Amoebozoa	ezhpj2qm	Heterostelium album	GCF_000004825.1
Amoebozoa	ezhpj2qm	Heterostelium pallidum	GCA_054501735.1
Amoebozoa	ezhpj2qm	Mastigamoeba balamuthi	GCA_902651635.1
Amoebozoa	ezhpj2qm	Paramoeba atlantica	GCA_977017615.1
Amoebozoa	ezhpj2qm	Paramoeba pemaquidensis	GCA_002151225.1
Amoebozoa	ezhpj2qm	Pelomyxa schiedti	GCA_020536535.1
Amoebozoa	ezhpj2qm	Protostelium mycophagum	GCA_002081555.1
Amoebozoa	ezhpj2qm	Speleostelium caveatum	GCA_003667305.1
Amoebozoa	ezhpj2qm	Vermamoeba vermiformis	GCA_020696425.1
Arthropoda	ihe1jk30	Abia candens	GCA_964212075.1
Arthropoda	ihe1jk30	Acartia tonsa	GCF_053477335.1
Arthropoda	ihe1jk30	Acrocera orbiculus	GCA_947359355.1
Arthropoda	ihe1jk30	Adelges abietis	GCA_054130805.1
Arthropoda	ihe1jk30	Aegaeobuthus cyprius	GCA_978021275.1
Arthropoda	ihe1jk30	Aeshna juncea	GCA_977065675.1
Arthropoda	ihe1jk30	Agapetus fuscipes	GCA_951799405.1
Arthropoda	ihe1jk30	Agaricogonopus acrotrifoliolatus	GCA_052040765.1
Arthropoda	ihe1jk30	Agelena orientalis	GCA_978045235.1
Arthropoda	ihe1jk30	Agrilus biguttatus	GCA_963921985.1
Arthropoda	ihe1jk30	Allygus modestus	GCA_963675035.1
Arthropoda	ihe1jk30	Amaurobius ferox	GCA_951213105.1
Arthropoda	ihe1jk30	Amblyomma americanum	GCF_052857255.1
Arthropoda	ihe1jk30	Amphibalanus improvisus	GCA_964274985.1
Arthropoda	ihe1jk30	Amphitetranychus viennensis	GCA_050437165.1
Arthropoda	ihe1jk30	Anilocra frontalis	GCA_964640705.1
Arthropoda	ihe1jk30	Anoplius nigerrimus	GCA_914767735.1
Arthropoda	ihe1jk30	Anthrax anthrax	GCA_963971155.1
Arthropoda	ihe1jk30	Aphonopelma marxi	GCA_054742115.1
Arthropoda	ihe1jk30	Aphrophora alni	GCA_963513935.1
Arthropoda	ihe1jk30	Araneus quadratus	GCA_977964365.1
Arthropoda	ihe1jk30	Archilestes grandis	GCA_977012885.1
Arthropoda	ihe1jk30	Arge ochropus	GCA_965113185.1
Arthropoda	ihe1jk30	Arrhopalites brevicornis	GCA_046718785.1
Arthropoda	ihe1jk30	Artema nephilit	GCA_977118365.1
Arthropoda	ihe1jk30	Artemia franciscana	GCF_032884065.1
Arthropoda	ihe1jk30	Asellus aquaticus	GCA_964212115.1
Arthropoda	ihe1jk30	Athalia rosae	GCF_917208135.1
Arthropoda	ihe1jk30	Atypus sp ZY 2024a	GCA_054135865.1
Arthropoda	ihe1jk30	Bacillus rossius	GCF_032445375.1
Arthropoda	ihe1jk30	Bactericera cockerelli	GCA_024516035.1
Arthropoda	ihe1jk30	Baryscapus dioryctriae	GCA_040869075.1
Arthropoda	ihe1jk30	Bemisia tabaci	GCF_918797505.1
Arthropoda	ihe1jk30	Beris chalybata	GCA_949128065.1
